order_id,order_date,customer_id,product_id,quantity,unit_price,discount,net_sales,channel,province,category,payment_id,payment_method,payment_status,paid_at,is_paid_sale
ORD000020,2026-01-08 21:53:00,C0115,P007,1,25900.0,0.0,25900.0,Web,ระยอง,Notebook,PAY000020,Credit Card,PAID,2026-01-08 22:34:00,True
ORD000021,2026-01-18 02:04:00,C0007,P007,1,27195.0,0.05,25835.25,Web,กรุงเทพมหานคร,Notebook,PAY000021,Bank Transfer,PAID,2026-01-18 03:13:00,True
ORD000023,2026-01-10 02:59:00,C0071,P034,1,299.0,0.1,269.1,Web,ชลบุรี,Accessory,PAY000023,Bank Transfer,FAILED,2026-01-10 03:29:00,False
ORD000024,2026-01-28 11:43:00,C0042,P033,1,13545.0,0.0,13545.0,Marketplace,ระยอง,Smart Home,PAY000024,Bank Transfer,PAID,2026-01-28 13:44:00,True
ORD000025,2026-01-07 13:04:00,C0079,P011,1,25900.0,0.0,25900.0,Web,ภูเก็ต,Accessory,PAY000025,Credit Card,PAID,2026-01-07 15:39:00,True
ORD000026,2026-01-04 19:15:00,C0107,P008,1,499.0,0.0,499.0,Mobile App,ระยอง,Accessory,PAY000026,Credit Card,PAID,2026-01-04 20:27:00,True
ORD000027,2026-01-23 14:12:00,C0143,P019,2,3790.5,0.1,6822.900000000001,Web,เชียงใหม่,Smartphone,PAY000027,Credit Card,PAID,2026-01-23 15:21:00,True
ORD000028,2026-01-08 05:59:00,C0139,P013,4,523.95,0.0,2095.8,Mobile App,ระยอง,Smart Home,PAY000028,Credit Card,PAID,2026-01-08 08:06:00,True
ORD000030,2026-01-10 12:26:00,C0003,P006,1,299.0,0.05,284.05,Mobile App,ขอนแก่น,Accessory,PAY000030,PromptPay,PAID,2026-01-10 14:50:00,True
ORD000031,2026-01-16 18:33:00,C0087,P027,1,24605.0,0.0,24605.0,Web,กรุงเทพมหานคร,Smartphone,PAY000031,PromptPay,PAID,2026-01-16 18:52:00,True
ORD000032,2026-01-01 14:52:00,C0085,P035,1,25900.0,0.0,25900.0,Mobile App,กรุงเทพมหานคร,Accessory,PAY000032,Bank Transfer,PAID,2026-01-01 17:21:00,True
ORD000034,2026-01-24 06:21:00,C0044,P005,1,313.95,0.0,313.95,Web,กรุงเทพมหานคร,Smartphone,PAY000034,PromptPay,PAID,2026-01-24 06:44:00,True
ORD000035,2026-01-16 21:39:00,C0045,P033,3,12900.0,0.0,38700.0,Marketplace,เชียงใหม่,Smart Home,PAY000035,PromptPay,PAID,2026-01-17 00:12:00,True
ORD000036,2026-01-21 10:30:00,C0043,P005,1,299.0,0.0,299.0,Mobile App,ระยอง,Smartphone,PAY000036,Credit Card,PAID,2026-01-21 13:28:00,True
ORD000037,2026-01-20 00:56:00,C0108,P017,4,990.0,0.0,3960.0,Web,เชียงใหม่,Smartphone,PAY000037,PromptPay,PAID,2026-01-20 03:11:00,True
ORD000038,2026-01-18 01:57:00,C0008,P009,1,284.05,0.05,269.8475,Mobile App,ขอนแก่น,Notebook,PAY000038,PromptPay,PAID,2026-01-18 03:21:00,True
ORD000039,2026-01-28 20:23:00,C0126,P004,2,1415.5,0.0,2831.0,Marketplace,เชียงใหม่,Smart Home,PAY000039,PromptPay,PAID,2026-01-28 20:25:00,True
ORD000040,2026-01-15 23:19:00,C0086,P021,1,23310.0,0.0,23310.0,Marketplace,กรุงเทพมหานคร,Smart Home,PAY000040,PromptPay,PAID,2026-01-16 00:12:00,True
ORD000041,2026-01-11 12:38:00,C0008,P034,2,284.05,0.0,568.1,Web,ขอนแก่น,Accessory,PAY000041,Credit Card,PAID,2026-01-11 14:36:00,True
ORD000042,2026-01-21 15:59:00,C0114,P032,1,25900.0,0.0,25900.0,Marketplace,เชียงใหม่,Notebook,PAY000042,Credit Card,PAID,2026-01-21 17:17:00,True
ORD000043,2026-01-03 08:15:00,C0006,P018,1,3790.5,0.05,3600.975,Web,ระยอง,Smartphone,PAY000043,Bank Transfer,PAID,2026-01-03 09:31:00,True
ORD000045,2026-01-16 19:17:00,C0068,P019,3,3990.0,0.0,11970.0,Marketplace,ขอนแก่น,Smartphone,PAY000045,Bank Transfer,PAID,2026-01-16 19:47:00,True
ORD000046,2026-01-21 21:21:00,C0097,P026,2,12900.0,0.1,23220.0,Mobile App,เชียงใหม่,Smart Home,PAY000046,Bank Transfer,PAID,2026-01-21 22:17:00,True
ORD000047,2026-01-01 07:56:00,C0100,P038,4,11610.0,0.0,46440.0,Web,กรุงเทพมหานคร,Smartphone,PAY000047,PromptPay,PAID,2026-01-01 09:44:00,True
ORD000048,2026-01-13 07:59:00,C0040,P038,2,12900.0,0.0,25800.0,Marketplace,กรุงเทพมหานคร,Smartphone,PAY000048,PromptPay,PAID,2026-01-13 09:30:00,True
ORD000049,2026-01-18 00:12:00,C0059,P019,1,3990.0,0.05,3790.5,Mobile App,ระยอง,Smartphone,PAY000049,PromptPay,PAID,2026-01-18 01:04:00,True
ORD000050,2026-01-09 02:38:00,C0067,P006,1,313.95,0.0,313.95,Web,ชลบุรี,Accessory,PAY000050,Bank Transfer,PAID,2026-01-09 04:32:00,True
ORD000051,2026-01-24 03:14:00,C0035,P039,4,990.0,0.0,3960.0,Marketplace,ชลบุรี,Notebook,PAY000051,Credit Card,PAID,2026-01-24 04:27:00,True
ORD000052,2026-01-18 11:03:00,C0079,P035,1,23310.0,0.0,23310.0,Mobile App,ภูเก็ต,Accessory,PAY000052,Credit Card,PAID,2026-01-18 12:24:00,True
ORD000053,2026-01-16 20:25:00,C0113,P019,4,3990.0,0.05,15162.0,Marketplace,ระยอง,Smartphone,PAY000053,Credit Card,PAID,2026-01-16 22:54:00,True
ORD000054,2026-01-01 18:10:00,C0046,P035,1,25900.0,0.1,23310.0,Marketplace,ชลบุรี,Accessory,PAY000054,Bank Transfer,PAID,2026-01-01 19:13:00,True
ORD000055,2026-01-07 14:06:00,C0132,P027,2,23310.0,0.0,46620.0,Marketplace,ชลบุรี,Smartphone,PAY000055,Credit Card,PAID,2026-01-07 16:03:00,True
ORD000056,2026-01-07 05:17:00,C0083,P017,1,990.0,0.0,990.0,Web,ขอนแก่น,Smartphone,PAY000056,Bank Transfer,PAID,2026-01-07 07:02:00,True
ORD000057,2026-01-20 22:46:00,C0054,P039,2,990.0,0.0,1980.0,Marketplace,กรุงเทพมหานคร,Notebook,PAY000057,Bank Transfer,PAID,2026-01-20 23:31:00,True
ORD000058,2026-01-16 05:55:00,C0096,P038,2,13545.0,0.05,25735.5,Mobile App,กรุงเทพมหานคร,Smartphone,PAY000058,PromptPay,PAID,2026-01-16 07:21:00,True
ORD000059,2026-01-22 06:56:00,C0038,P005,1,284.05,0.0,284.05,Mobile App,ชลบุรี,Smartphone,PAY000059,Bank Transfer,PAID,2026-01-22 07:08:00,True
ORD000060,2026-01-15 09:26:00,C0057,P005,1,299.0,0.1,269.1,Mobile App,เชียงใหม่,Smartphone,PAY000060,Credit Card,PAID,2026-01-15 12:01:00,True
ORD000061,2026-01-08 12:44:00,C0102,P023,2,313.95,0.1,565.11,Mobile App,ระยอง,Accessory,PAY000061,Bank Transfer,PAID,2026-01-08 12:47:00,True
ORD000062,2026-01-09 13:10:00,C0036,P020,3,499.0,0.0,1497.0,Marketplace,กรุงเทพมหานคร,Smart Home,PAY000062,PromptPay,PAID,2026-01-09 15:05:00,True
ORD000063,2026-01-08 01:20:00,C0034,P025,3,27195.0,0.0,81585.0,Marketplace,ภูเก็ต,Accessory,PAY000063,Credit Card,PAID,2026-01-08 04:07:00,True
ORD000064,2026-01-07 21:17:00,C0152,P014,1,1039.5,0.1,935.5500000000001,Web,ชลบุรี,Notebook,PAY000064,Credit Card,PAID,2026-01-07 21:33:00,True
ORD000065,2026-01-20 12:44:00,C0160,P031,3,1490.0,0.0,4470.0,Web,กรุงเทพมหานคร,Smart Home,PAY000065,Bank Transfer,PAID,2026-01-20 15:03:00,True
ORD000067,2026-01-11 23:34:00,C0125,P035,1,25900.0,0.0,25900.0,Mobile App,เชียงใหม่,Accessory,PAY000067,Credit Card,PAID,2026-01-12 02:25:00,True
ORD000068,2026-01-15 21:59:00,C0052,P039,1,940.5,0.05,893.4749999999999,Mobile App,ระยอง,Notebook,PAY000068,PromptPay,PAID,2026-01-16 00:21:00,True
ORD000069,2026-01-09 12:18:00,C0081,P039,1,1039.5,0.0,1039.5,Web,ขอนแก่น,Notebook,PAY000069,Credit Card,PAID,2026-01-09 14:32:00,True
ORD000070,2026-01-28 09:39:00,C0069,P014,4,1039.5,0.0,4158.0,Marketplace,กรุงเทพมหานคร,Notebook,PAY000070,Bank Transfer,PAID,2026-01-28 12:02:00,True
ORD000071,2026-01-01 22:56:00,C0021,P008,1,523.95,0.0,523.95,Web,เชียงใหม่,Accessory,PAY000071,Credit Card,PAID,2026-01-02 00:10:00,True
ORD000072,2026-01-24 22:09:00,C0028,P032,4,23310.0,0.05,88578.0,Mobile App,ขอนแก่น,Notebook,PAY000072,Credit Card,PAID,2026-01-24 22:55:00,True
ORD000073,2026-01-13 05:31:00,C0009,P022,1,474.05,0.0,474.05,Web,ภูเก็ต,Accessory,PAY000073,Credit Card,PAID,2026-01-13 07:28:00,True
ORD000074,2026-01-17 10:33:00,C0110,P031,4,1490.0,0.0,5960.0,Marketplace,เชียงใหม่,Smart Home,PAY000074,Credit Card,PAID,2026-01-17 11:45:00,True
ORD000075,2026-01-22 08:13:00,C0039,P007,2,24605.0,0.05,46749.5,Web,กรุงเทพมหานคร,Notebook,PAY000075,Credit Card,PAID,2026-01-22 08:15:00,True
ORD000077,2026-01-08 04:24:00,C0143,P026,2,12255.0,0.0,24510.0,Web,เชียงใหม่,Smart Home,PAY000077,PromptPay,PAID,2026-01-08 04:29:00,True
ORD000078,2026-01-22 17:21:00,C0070,P017,1,1039.5,0.05,987.525,Marketplace,เชียงใหม่,Smartphone,PAY000078,Bank Transfer,PAID,2026-01-22 17:34:00,True
ORD000079,2026-01-05 10:50:00,C0005,P037,1,25900.0,0.1,23310.0,Mobile App,ระยอง,Smart Home,PAY000079,Bank Transfer,PAID,2026-01-05 13:47:00,True
ORD000080,2026-01-28 17:30:00,C0008,P019,3,4189.5,0.05,11940.074999999999,Marketplace,ขอนแก่น,Smartphone,PAY000080,Bank Transfer,PAID,2026-01-28 19:57:00,True
ORD000081,2026-01-11 02:57:00,C0061,P018,4,3591.0,0.0,14364.0,Web,ขอนแก่น,Smartphone,PAY000081,Credit Card,PAID,2026-01-11 03:07:00,True
ORD000082,2026-01-21 18:06:00,C0147,P020,2,474.05,0.1,853.2900000000001,Marketplace,ชลบุรี,Smart Home,PAY000082,PromptPay,PAID,2026-01-21 18:30:00,True
ORD000083,2026-01-17 01:19:00,C0070,P021,1,25900.0,0.0,25900.0,Web,เชียงใหม่,Smart Home,PAY000083,PromptPay,PAID,2026-01-17 01:51:00,True
ORD000084,2026-01-27 07:52:00,C0132,P026,1,11610.0,0.0,11610.0,Web,ชลบุรี,Smart Home,PAY000084,PromptPay,PAID,2026-01-27 08:53:00,True
ORD000085,2026-01-20 05:05:00,C0145,P003,2,24605.0,0.0,49210.0,Mobile App,ภูเก็ต,Smartphone,PAY000085,Credit Card,PAID,2026-01-20 07:24:00,True
ORD000086,2026-01-22 09:30:00,C0038,P015,4,269.1,0.0,1076.4,Web,ชลบุรี,Notebook,PAY000086,Bank Transfer,PAID,2026-01-22 12:16:00,True
ORD000087,2026-01-25 05:31:00,C0068,P001,3,299.0,0.0,897.0,Web,ขอนแก่น,Notebook,PAY000087,Credit Card,PAID,2026-01-25 08:13:00,True
ORD000088,2026-01-28 21:16:00,C0118,P024,2,284.05,0.1,511.29,Web,ระยอง,Accessory,PAY000088,PromptPay,PAID,2026-01-28 22:57:00,True
ORD000089,2026-01-26 04:55:00,C0070,P026,1,12900.0,0.0,12900.0,Web,เชียงใหม่,Smart Home,PAY000089,PromptPay,PAID,2026-01-26 07:40:00,True
ORD000090,2026-01-19 00:37:00,C0083,P038,1,12900.0,0.0,12900.0,Marketplace,ขอนแก่น,Smartphone,PAY000090,Bank Transfer,PAID,2026-01-19 01:32:00,True
ORD000091,2026-01-18 10:20:00,C0156,P037,1,25900.0,0.05,24605.0,Mobile App,กรุงเทพมหานคร,Smart Home,PAY000091,PromptPay,PAID,2026-01-18 12:55:00,True
ORD000092,2026-01-16 20:33:00,C0086,P006,1,313.95,0.0,313.95,Web,กรุงเทพมหานคร,Accessory,PAY000092,Credit Card,PAID,2026-01-16 21:27:00,True
ORD000093,2026-01-17 23:56:00,C0160,P013,2,523.95,0.05,995.505,Web,กรุงเทพมหานคร,Smart Home,PAY000093,PromptPay,FAILED,2026-01-18 00:27:00,False
ORD000094,2026-01-05 03:21:00,C0014,P012,1,1039.5,0.1,935.5500000000001,Marketplace,ขอนแก่น,Accessory,PAY000094,Bank Transfer,PAID,2026-01-05 06:00:00,True
ORD000095,2026-01-01 19:36:00,C0062,P020,2,499.0,0.0,998.0,Web,ระยอง,Smart Home,PAY000095,Credit Card,PAID,2026-01-01 20:33:00,True
ORD000096,2026-01-26 20:50:00,C0090,P024,2,284.05,0.0,568.1,Mobile App,เชียงใหม่,Accessory,PAY000096,Credit Card,PAID,2026-01-26 22:11:00,True
ORD000097,2026-01-16 01:11:00,C0008,P009,4,299.0,0.0,1196.0,Marketplace,ขอนแก่น,Notebook,PAY000097,PromptPay,PAID,2026-01-16 01:43:00,True
ORD000098,2026-01-14 04:53:00,C0099,P016,2,1490.0,0.1,2682.0,Marketplace,ขอนแก่น,Accessory,PAY000098,Credit Card,PAID,2026-01-14 06:37:00,True
ORD000099,2026-01-24 06:51:00,C0136,P039,3,1039.5,0.0,3118.5,Mobile App,ระยอง,Notebook,PAY000099,PromptPay,PAID,2026-01-24 08:38:00,True
ORD000100,2026-01-05 13:19:00,C0014,P038,2,13545.0,0.0,27090.0,Mobile App,ขอนแก่น,Smartphone,PAY000100,Bank Transfer,PAID,2026-01-05 15:44:00,True
ORD000101,2026-01-20 04:47:00,C0093,P034,1,284.05,0.0,284.05,Web,ภูเก็ต,Accessory,PAY000101,Bank Transfer,FAILED,2026-01-20 05:56:00,False
ORD000102,2026-01-05 07:29:00,C0078,P002,4,1341.0,0.05,5095.8,Mobile App,ระยอง,Smartphone,PAY000102,Bank Transfer,PAID,2026-01-05 09:52:00,True
ORD000103,2026-01-11 07:18:00,C0079,P014,1,940.5,0.1,846.45,Web,ภูเก็ต,Notebook,PAY000103,Credit Card,PAID,2026-01-11 08:32:00,True
ORD000104,2026-01-13 17:48:00,C0157,P036,2,299.0,0.1,538.2,Marketplace,ระยอง,Notebook,PAY000104,Credit Card,PAID,2026-01-13 19:26:00,True
ORD000105,2026-01-07 02:25:00,C0099,P002,2,1341.0,0.1,2413.8,Mobile App,ขอนแก่น,Smartphone,PAY000105,Credit Card,PAID,2026-01-07 03:54:00,True
ORD000106,2026-01-07 13:52:00,C0157,P008,4,474.05,0.1,1706.5800000000002,Marketplace,ระยอง,Accessory,PAY000106,PromptPay,REFUNDED,2026-01-07 15:10:00,False
ORD000107,2026-01-23 21:07:00,C0065,P023,2,299.0,0.0,598.0,Web,ขอนแก่น,Accessory,PAY000107,Credit Card,PAID,2026-01-23 23:36:00,True
ORD000108,2026-01-17 22:05:00,C0138,P029,4,3990.0,0.0,15960.0,Web,กรุงเทพมหานคร,Notebook,PAY000108,Credit Card,PAID,2026-01-17 23:54:00,True
ORD000109,2026-01-19 03:38:00,C0140,P033,1,13545.0,0.0,13545.0,Web,ภูเก็ต,Smart Home,PAY000109,Credit Card,PAID,2026-01-19 06:35:00,True
ORD000110,2026-01-27 22:29:00,C0066,P002,3,1341.0,0.0,4023.0,Marketplace,ระยอง,Smartphone,PAY000110,PromptPay,PAID,2026-01-28 00:24:00,True
ORD000111,2026-01-04 17:27:00,C0146,P008,3,449.1,0.0,1347.3000000000002,Mobile App,กรุงเทพมหานคร,Accessory,PAY000111,Credit Card,PAID,2026-01-04 19:04:00,True
ORD000112,2026-01-18 09:59:00,C0097,P034,2,313.95,0.05,596.505,Web,เชียงใหม่,Accessory,PAY000112,Bank Transfer,FAILED,2026-01-18 11:54:00,False
ORD000113,2026-01-03 06:56:00,C0024,P027,3,24605.0,0.0,73815.0,Mobile App,กรุงเทพมหานคร,Smartphone,PAY000113,Bank Transfer,PAID,2026-01-03 09:53:00,True
ORD000114,2026-01-01 13:09:00,C0050,P014,3,1039.5,0.0,3118.5,Web,เชียงใหม่,Notebook,PAY000114,PromptPay,PAID,2026-01-01 14:03:00,True
ORD000115,2026-01-21 07:56:00,C0085,P009,4,313.95,0.0,1255.8,Mobile App,กรุงเทพมหานคร,Notebook,PAY000115,Bank Transfer,PAID,2026-01-21 10:17:00,True
ORD000116,2026-01-24 08:29:00,C0073,P002,4,1341.0,0.0,5364.0,Web,ขอนแก่น,Smartphone,PAY000116,Bank Transfer,PAID,2026-01-24 10:09:00,True
ORD000117,2026-01-09 09:51:00,C0012,P016,1,1415.5,0.0,1415.5,Marketplace,ขอนแก่น,Accessory,PAY000117,Bank Transfer,PAID,2026-01-09 10:26:00,True
ORD000118,2026-01-21 07:02:00,C0075,P025,1,23310.0,0.05,22144.5,Web,ระยอง,Accessory,PAY000118,Bank Transfer,PAID,2026-01-21 08:33:00,True
ORD000119,2026-01-25 09:48:00,C0007,P022,1,449.1,0.0,449.1,Web,กรุงเทพมหานคร,Accessory,PAY000119,Bank Transfer,PAID,2026-01-25 10:43:00,True
ORD000120,2026-01-15 14:33:00,C0092,P020,4,499.0,0.0,1996.0,Web,กรุงเทพมหานคร,Smart Home,PAY000120,PromptPay,PAID,2026-01-15 16:33:00,True
ORD000121,2026-01-05 17:34:00,C0052,P006,1,313.95,0.0,313.95,Web,ระยอง,Accessory,PAY000121,Credit Card,REFUNDED,2026-01-05 19:17:00,False
ORD000122,2026-01-08 11:24:00,C0051,P010,3,891.0,0.1,2405.7000000000003,Mobile App,เชียงใหม่,Smart Home,PAY000122,PromptPay,PAID,2026-01-08 11:27:00,True
ORD000123,2026-01-08 18:25:00,C0035,P024,1,313.95,0.0,313.95,Mobile App,ชลบุรี,Accessory,PAY000123,Bank Transfer,PAID,2026-01-08 19:08:00,True
ORD000124,2026-01-15 01:56:00,C0012,P007,1,27195.0,0.05,25835.25,Web,ขอนแก่น,Notebook,PAY000124,PromptPay,PAID,2026-01-15 04:09:00,True
ORD000125,2026-01-24 01:22:00,C0155,P003,1,25900.0,0.0,25900.0,Web,เชียงใหม่,Smartphone,PAY000125,PromptPay,PAID,2026-01-24 02:51:00,True
ORD000126,2026-01-03 20:15:00,C0056,P022,1,523.95,0.05,497.7525,Marketplace,เชียงใหม่,Accessory,PAY000126,Credit Card,PAID,2026-01-03 20:33:00,True
ORD000127,2026-01-27 13:30:00,C0060,P040,3,3790.5,0.05,10802.925,Mobile App,ภูเก็ต,Accessory,PAY000127,Bank Transfer,PAID,2026-01-27 15:29:00,True
ORD000128,2026-01-13 09:03:00,C0138,P012,3,940.5,0.0,2821.5,Mobile App,กรุงเทพมหานคร,Accessory,PAY000128,Credit Card,PAID,2026-01-13 09:29:00,True
ORD000129,2026-01-24 16:44:00,C0098,P031,1,1490.0,0.0,1490.0,Mobile App,เชียงใหม่,Smart Home,PAY000129,PromptPay,PAID,2026-01-24 17:25:00,True
ORD000130,2026-01-07 01:39:00,C0067,P006,2,299.0,0.05,568.1,Web,ชลบุรี,Accessory,PAY000130,Credit Card,FAILED,2026-01-07 03:56:00,False
ORD000131,2026-01-03 03:34:00,C0101,P010,2,891.0,0.05,1692.8999999999999,Marketplace,ภูเก็ต,Smart Home,PAY000131,Bank Transfer,PAID,2026-01-03 05:17:00,True
ORD000132,2026-01-28 02:40:00,C0146,P022,1,523.95,0.1,471.55500000000006,Marketplace,กรุงเทพมหานคร,Accessory,PAY000132,Credit Card,PAID,2026-01-28 03:12:00,True
ORD000133,2026-01-11 15:42:00,C0078,P008,3,449.1,0.0,1347.3000000000002,Marketplace,ระยอง,Accessory,PAY000133,Credit Card,PAID,2026-01-11 17:27:00,True
ORD000134,2026-01-08 15:18:00,C0007,P018,2,3591.0,0.05,6822.9,Marketplace,กรุงเทพมหานคร,Smartphone,PAY000134,Bank Transfer,PAID,2026-01-08 16:18:00,True
ORD000135,2026-01-15 04:33:00,C0076,P027,2,25900.0,0.05,49210.0,Mobile App,ระยอง,Smartphone,PAY000135,Credit Card,PAID,2026-01-15 05:23:00,True
ORD000136,2026-01-18 05:28:00,C0052,P003,2,25900.0,0.0,51800.0,Mobile App,ระยอง,Smartphone,PAY000136,PromptPay,PAID,2026-01-18 05:57:00,True
ORD000137,2026-01-07 00:33:00,C0003,P039,2,990.0,0.05,1881.0,Marketplace,ขอนแก่น,Notebook,PAY000137,PromptPay,PAID,2026-01-07 00:39:00,True
ORD000138,2026-01-08 13:50:00,C0145,P030,1,474.05,0.1,426.64500000000004,Mobile App,ภูเก็ต,Smartphone,PAY000138,Credit Card,PAID,2026-01-08 13:54:00,True
ORD000139,2026-01-05 03:18:00,C0075,P016,1,1490.0,0.0,1490.0,Web,ระยอง,Accessory,PAY000139,Credit Card,PAID,2026-01-05 05:45:00,True
ORD000140,2026-01-04 00:24:00,C0132,P023,1,269.1,0.05,255.645,Marketplace,ชลบุรี,Accessory,PAY000140,Credit Card,PAID,2026-01-04 00:39:00,True
ORD000141,2026-01-14 11:29:00,C0069,P011,2,23310.0,0.0,46620.0,Web,กรุงเทพมหานคร,Accessory,PAY000141,Credit Card,PAID,2026-01-14 11:56:00,True
ORD000142,2026-01-08 05:30:00,C0127,P010,2,891.0,0.0,1782.0,Web,ภูเก็ต,Smart Home,PAY000142,Bank Transfer,FAILED,2026-01-08 06:50:00,False
ORD000143,2026-01-18 23:04:00,C0133,P007,1,25900.0,0.05,24605.0,Web,ภูเก็ต,Notebook,PAY000143,Credit Card,PAID,2026-01-19 00:29:00,True
ORD000145,2026-01-11 18:33:00,C0142,P009,1,313.95,0.1,282.555,Web,ชลบุรี,Notebook,PAY000145,Credit Card,PAID,2026-01-11 19:39:00,True
ORD000146,2026-01-13 00:04:00,C0096,P023,1,299.0,0.0,299.0,Marketplace,กรุงเทพมหานคร,Accessory,PAY000146,Bank Transfer,PAID,2026-01-13 00:08:00,True
ORD000147,2026-01-24 10:34:00,C0114,P001,1,299.0,0.0,299.0,Marketplace,เชียงใหม่,Notebook,PAY000147,Bank Transfer,PAID,2026-01-24 12:27:00,True
ORD000148,2026-01-16 20:05:00,C0121,P040,1,3591.0,0.05,3411.45,Mobile App,กรุงเทพมหานคร,Accessory,PAY000148,Credit Card,FAILED,2026-01-16 22:33:00,False
ORD000149,2026-01-04 10:57:00,C0033,P028,1,299.0,0.05,284.05,Mobile App,ระยอง,Smartphone,PAY000149,Bank Transfer,PAID,2026-01-04 12:47:00,True
ORD000150,2026-01-11 10:12:00,C0067,P033,2,12900.0,0.0,25800.0,Mobile App,ชลบุรี,Smart Home,PAY000150,Bank Transfer,PAID,2026-01-11 12:02:00,True
ORD000151,2026-01-06 02:33:00,C0004,P036,1,269.1,0.0,269.1,Mobile App,กรุงเทพมหานคร,Notebook,PAY000151,Credit Card,PAID,2026-01-06 05:16:00,True
ORD000152,2026-01-20 15:01:00,C0026,P040,2,3990.0,0.0,7980.0,Marketplace,เชียงใหม่,Accessory,PAY000152,Bank Transfer,PAID,2026-01-20 15:53:00,True
ORD000153,2026-01-08 04:09:00,C0120,P011,1,25900.0,0.0,25900.0,Mobile App,ขอนแก่น,Accessory,PAY000153,Credit Card,PAID,2026-01-08 04:54:00,True
ORD000154,2026-01-04 03:08:00,C0047,P009,4,299.0,0.0,1196.0,Marketplace,ระยอง,Notebook,PAY000154,PromptPay,PAID,2026-01-04 05:58:00,True
ORD000155,2026-01-19 06:03:00,C0130,P014,4,990.0,0.0,3960.0,Web,ภูเก็ต,Notebook,PAY000155,PromptPay,PAID,2026-01-19 07:13:00,True
ORD000156,2026-01-07 14:35:00,C0014,P001,2,269.1,0.0,538.2,Marketplace,ขอนแก่น,Notebook,PAY000156,PromptPay,PAID,2026-01-07 15:45:00,True
ORD000157,2026-01-13 09:28:00,C0054,P024,1,299.0,0.0,299.0,Marketplace,กรุงเทพมหานคร,Accessory,PAY000157,Credit Card,PAID,2026-01-13 11:34:00,True
ORD000158,2026-01-14 21:41:00,C0073,P027,1,23310.0,0.05,22144.5,Web,ขอนแก่น,Smartphone,PAY000158,Bank Transfer,PAID,2026-01-14 22:07:00,True
